Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
1609,00:01:07.067,1.2551870132956031,0.525417751736111,0.5118815104166666,0.3634440104166667,0.5033908420138888,0.7094184027777778
1610,00:01:07.109,1.078247881766132,0.5287452980324073,0.477294921875,0.3701443142361111,0.4969346788194444,0.7191569010416666
1611,00:01:07.150,0.9742661841576197,0.5477340133101852,0.6709798177083334,0.4067925347222222,0.4803602430555556,0.7560492621527778
1612,00:01:07.192,1.1691142268589276,0.6363570601851852,1.1067708333333333,0.3977322048611111,0.7438693576388888,0.7674696180555556
1613,00:01:07.234,0.987721866276326,0.5582863136574074,1.6463216145833333,0.4057345920138889,0.5094401041666666,0.7596842447916666
1614,00:01:07.276,1.018950765376531,0.5424623842592592,0.8992513020833334,0.3901095920138889,0.4706488715277778,0.7666286892361112
1615,00:01:07.317,1.1878869502291551,0.5343514901620371,1.1482747395833333,0.3514811197916667,0.4831271701388889,0.7684461805555556
1616,00:01:07.359,0.92244251916028,0.4004991319444444,0.9476725260416666,0.3051486545138889,0.3302137586805556,0.5661349826388888
1617,00:01:07.401,0.6817319374434534,0.2980866608796296,0.9476725260416666,0.18001302083333334,0.23057725694444445,0.4836697048611111
1618,00:01:07.442,0.9043822224733705,0.3617892795138889,1.2174479166666667,0.23543294270833334,0.3133680555555556,0.5365668402777778
1619,00:01:07.484,1.197097409084655,0.45235640914351855,1.3765462239583333,0.2764756944444444,0.38134765625,0.6992458767361112
1620,00:01:07.526,1.19226754022823,0.44921875,0.8854166666666666,0.2985297309027778,0.4122178819444444,0.6369086371527778
1621,00:01:07.567,1.1438558614131134,0.40241608796296297,1.20361328125,0.2322319878472222,0.3419325086805556,0.6330837673611112
1622,00:01:07.609,0.8567847905500894,0.29054542824074076,1.099853515625,0.22129991319444445,0.22496202256944445,0.4253743489583333
1623,00:01:07.651,0.6510622284560912,0.21510597511574073,0.684814453125,0.15321180555555555,0.14689127604166666,0.34521484375
1624,00:01:07.693,0.985542465163493,0.2897044994212963,1.016845703125,0.1957736545138889,0.2321506076388889,0.4411892361111111
1625,00:01:07.734,1.2017346276241851,0.33890335648148145,0.9407552083333334,0.2073296440972222,0.2767740885416667,0.5326063368055556
1626,00:01:07.776,1.106697278192309,0.33126265914351855,1.2451171875,0.2222222222222222,0.2519802517361111,0.5195855034722222
1627,00:01:07.818,0.9723706993901979,0.29197410300925924,0.767822265625,0.19810655381944445,0.23421223958333334,0.443603515625
1628,00:01:07.859,0.9885887341005452,0.2767198350694445,0.726318359375,0.1679416232638889,0.2166069878472222,0.4456108940972222
1629,00:01:07.901,0.9453622201484695,0.25419560185185186,0.352783203125,0.15345594618055555,0.1812065972222222,0.4279242621527778
1630,00:01:07.943,0.8696273211271264,0.24222366898148148,0.13142903645833334,0.17374674479166666,0.1692437065972222,0.3836805555555556
1631,00:01:07.985,0.9596589744640733,0.26463035300925924,0.62255859375,0.1785210503472222,0.20930989583333334,0.4060601128472222
1632,00:01:08.026,1.2326071556632237,0.318603515625,0.17293294270833334,0.1903754340277778,0.24305555555555555,0.5223795572916666
1633,00:01:08.068,1.1054997310008505,0.28799551504629634,0.4911295572916667,0.18318684895833334,0.2194281684027778,0.4613715277777778
1634,00:01:08.110,0.8635328123851751,0.23906792534722224,0.24210611979166666,0.12242296006944445,0.17957899305555555,0.4152018229166667
1635,00:01:08.151,0.6112173038229377,0.21974464699074078,0.12451171875,0.12139214409722222,0.1552463107638889,0.3825954861111111
1636,00:01:08.193,0.6106003457488605,0.2810510706018518,0.643310546875,0.1965060763888889,0.2031792534722222,0.4434678819444444
1637,00:01:08.235,1.203087629622594,0.6299641927083334,1.61865234375,0.4194878472222222,0.5442708333333334,0.9261338975694444
1638,00:01:08.277,1.1103830678792814,0.7523690682870371,1.805419921875,0.5584852430555556,0.6721462673611112,1.0264756944444444
1639,00:01:08.318,0.9847619299615014,0.8413266782407408,1.9368489583333333,0.6502007378472222,0.7582736545138888,1.1155056423611112
1640,00:01:08.360,0.9330239193997251,0.957962601273148,2.11669921875,0.7967936197916666,0.844970703125,1.2321234809027777
1641,00:01:08.402,0.8508448304803267,1.0770851417824074,2.6285807291666665,0.9232313368055556,0.9693739149305556,1.3386501736111112
1642,00:01:08.443,0.9218589249670973,1.4361346209490742,3.963623046875,1.3748101128472223,1.2457682291666667,1.6878255208333333
1643,00:01:08.485,1.0120599531217347,1.8281792534722223,6.135660807291667,1.8716091579861112,1.5285915798611112,2.0843370225694446
1644,00:01:08.527,1.278205010889259,2.3682454427083335,12.506510416666666,2.3917100694444446,2.072482638888889,2.6405436197916665
1645,00:01:08.569,1.290553827006845,2.344111689814815,9.704996744791666,2.130154079861111,2.153537326388889,2.7486436631944446
